ID;MORADOR;NUMERO_CONTROLE;BLOCO;DT_VISITA;TEMPO_TOTAL_ENTREV;IDADE;PAIS;ESTADO;CIDADE;OUTRA_CIDADE;BAIRRO_BH;REGIAO_BH;REGIONAL_ORIGEM;PRETENDERIA_VIAJAR;PERNOITE_BH;T_PERNOITE;HOSPEDAGEM;TRANSPORTE;MOTIVO_CARNAVAL;MOTIVO_OUTRO;DIAS_CARNAVAL;GASTOS_PRETENDIDOS;PESSOAS_GASTOS;ALIMENTACAO_GASTOS;TRANSPORTE_GASTOS;FANTASIAS_GASTOS;COMPRAS_GASTOS;INGRESSOS_GASTOS;OUTROS_GASTOS;HOSPEDAGEM_GASTOS;PASSEIOS_GASTOS;TOTAL_GASTOS;INDIVIDUAL_GASTOS;DIARIO_GASTOS;FONTE_CARNAVAL;PARTICIPOU_ANOSANTERIORES;EVOLUCAO;MOTIVO;EXPECTATIVAS;AVAL_GERAL;AVAL_BANHEIROS;AVAL_SEGURANCA;AVAL_PRECOS;PROXIMA_EDICAO;MOTIVO_NAO;BLOCOS_DE_RUA;EVENTOS_PRIVADOS;PALCOS;CIRCUITO_GASTRONOMICO;CITY_TOUR;VISITA_CULTURAL;NAO_SABE;PRINCIPAL_PATROCINADOR;GENERO;ESCOLARIDADE;ESTADO_CIVIL;FAIXA_DE_RENDA;TRANSP_A_PE;TRANSP_APP;TRANSP_BICICLETA;TRANSP_CAR_AMIGOS_PARENTES;TRANSP_TAXI;TRANSP_OUTROS;TRANSP_VEICULO_PROPRIO;TRANSP_VEICULO_ALUGADO;TRANSP_ONIBUS_COLETIVO;TRANSP_NS;TRANSP_METRO
1;visitante;1;entao_brilha;02/03/2019 08:53;00:05:20;22;brasil;mg;outra_cidade;divinopolis;NA;NA;interior_de_minas_gerais;nr_nao_sabe;sim;3;casa_alugada;trem;nao;estudos_ou_cursos;5;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;amigos/parentes;sim;melhorou;NR_NAO_SABE;superou;6;1;3;5;sim;NA;sim;NA;NA;NA;NA;NA;NA;amstel;masculino;ensino_superior_completo;solteiro;entre_1_sm_e_3_sm_(rs_998,01_a_rs_2.994,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
2;visitante;2;entao_brilha;02/03/2019 09:24;00:04:12;22;brasil;mg;outra_cidade;congonhas;NA;NA;interior_de_minas_gerais;nr_nao_sabe;sim;4;casa_de_amigos/parentes;onibus_rodoviario;sim;nr_nao_sabe;4;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;outros_sites;sim;melhorou;NR_NAO_SABE;indiferente;9;1;10;1;sim;NA;sim;NA;NA;NA;NA;NA;NA;nr_nao_sabe;feminino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
3;visitante;3;lindo_bloco_do_amor;01/03/2019 17:28;00:05:27;23;argentina;outro_pais;outra_cidade;buenos_aires;NA;NA;outros_paises;nr_nao_sabe;sim;4;casa_de_amigos/parentes;aviao;sim;nr_nao_sabe;5;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;instagram;sim;melhorou;NR_NAO_SABE;superou;6;7;5;6;sim;NA;NA;NA;NA;NA;NA;NA;NA;skol;feminino;ensino_medio_completo;solteiro;nr_nao_sabe;outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
4;visitante;4;bloco_havayanas_usadas;04/03/2019 11:01;00:08:43;16;brasil;mg;outra_cidade;divinopolis;NA;NA;interior_de_minas_gerais;nr_nao_sabe;sim;3;casa_de_amigos/parentes;onibus_rodoviario;sim;nr_nao_sabe;3;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;outros_aplicativos;nao;NR_NAO_SABE;NR_NAO_SABE;atendeu_plenamente;8;2;8;5;sim;NA;NA;NA;NA;NA;NA;sim;NA;skol;feminino;ensino_fundamental_completo;solteiro;nr_nao_sabe;outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
5;visitante;5;quando_come_se_lambuza;02/03/2019 09:24;00:06:21;42;brasil;mg;outra_cidade;funilandia;NA;NA;interior_de_minas_gerais;nr_nao_sabe;sim;5;casa_de_amigos/parentes;onibus_rodoviario;sim;nr_nao_sabe;4;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;divulgacao_em_jornais,_radio_e_tv;sim;melhorou;NR_NAO_SABE;superou;10;1;9;7;sim;NA;NA;NA;NA;NA;NA;sim;NA;prefeitura;feminino;ensino_superior_completo;casado;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
6;visitante;6;tchanzinho_zona_norte;01/03/2019 17:26;00:04:54;18;brasil;mg;outra_cidade;goverdor_valadares;NA;NA;interior_de_minas_gerais;nr_nao_sabe;sim;7;casa_de_amigos/parentes;carro/moto;sim;nr_nao_sabe;6;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;www.carnavaldebelohorizonte.com.br;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;10;10;7;2;sim;NA;NA;sim;NA;NA;NA;NA;NA;nr_nao_sabe;feminino;ensino_medio_completo;solteiro;acima_de_10_sm_(rs_9.980,01);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
7;visitante;7;quando_come_se_lambuza;02/03/2019 09:39;00:03:53;41;brasil;mg;outra_cidade;juiz_de_fora;NA;NA;interior_de_minas_gerais;nr_nao_sabe;sim;4;casa_de_amigos/parentes;carro/moto;sim;nr_nao_sabe;3;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;amigos/parentes;nao;NR_NAO_SABE;NR_NAO_SABE;atendeu_plenamente;10;nr_nao_sabe;10;8;sim;NA;NA;NA;NA;NA;NA;NA;NA;nr_nao_sabe;feminino;ensino_superior_completo;casado;acima_de_10_sm_(rs_9.980,01);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
8;visitante;8;bloco_havayanas_usadas;04/03/2019 11:39;00:05:05;43;brasil;mg;outra_cidade;lajinha;NA;NA;interior_de_minas_gerais;nr_nao_sabe;sim;10;casa_de_amigos/parentes;onibus_rodoviario;sim;nr_nao_sabe;4;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;amigos/parentes;nao;NR_NAO_SABE;NR_NAO_SABE;atendeu_plenamente;10;8;8;8;nr_nao_sabe;NA;NA;NA;NA;NA;NA;NA;sim;skol;feminino;ensino_superior_completo;solteiro;nr_nao_sabe;outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
9;visitante;9;funk_you;04/03/2019 12:48;00:05:31;23;brasil;rj;outra_cidade;rio_de_janeiro;NA;NA;outros_estados;nr_nao_sabe;sim;5;casa_de_amigos/parentes;onibus_rodoviario;nao;negocios_ou_trabalho;6;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;amigos/parentes;sim;nem_melhorou_nem_piorou;NR_NAO_SABE;atendeu_plenamente;7;1;5;1;nao;vai_para_salvador;NA;sim;NA;NA;NA;NA;NA;nr_nao_sabe;masculino;ensino_medio_completo;solteiro;entre_1_sm_e_3_sm_(rs_998,01_a_rs_2.994,00);a_pe;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
10;visitante;10;monobloco;05/03/2019 10:11;00:03:55;40;brasil;rj;outra_cidade;rio_de_janeiro;NA;NA;outros_estados;nr_nao_sabe;sim;4;casa_de_amigos/parentes;onibus_rodoviario;sim;nr_nao_sabe;4;nr_nao_sabe;real;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;0;nr_nao_sabe;amigos/parentes;nao;NR_NAO_SABE;NR_NAO_SABE;atendeu_plenamente;9;8;10;10;sim;NA;NA;NA;NA;NA;NA;NA;NA;nr_nao_sabe;feminino;ensino_superior_completo;solteiro;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;veiculo_proprio;outra_opcao;outra_opcao;outra_opcao;outra_opcao
